OBJECTID,Trail ID,Trail Name,Abbreviated Park Name,Park Name,Full Park Name,Full Blaze Color,Abbreviated Blaze Color,Base Color,Cap Color,Dot Color,Dash Color,Blaze Image Link,Mileage,Track,Track (Number Format),Difficulty,Configuration,Surface,Service Road,Shape__Length,GlobalID,Trail Status
26723,HH15413, ,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,, , ,<Null>,0.45626732,,,Easy-Moderate,<Null>,,,0.00756336308886598,25a36d5f-401b-44b4-bc43-8cdb8412fb63,Active
26725,HH16274,,HH,Harrison Hills,Harrison Hills,,,,,,,,0.14891032,,,Easy,<Null>,Dirt,,0.00243776544446666,e1b9f38d-8b96-456c-a02f-4fc16b2b3606,Active
26730,HH4755, ,HH,Harrison Hills,Harrison Hills,,,,,,,,0.03631468,,,,<Null>,,,0.000685707228937286,ca4a99c3-9f03-4446-be09-e3b5ecb69861,Active
26732,HH4759, ,HH,Harrison Hills,Harrison Hills,,,,,,,,0.16002409,,,,<Null>,,,0.0029640802106933,8e746db6-72ca-476f-95f6-389e4866355a,Active
26733,HH4763, ,HH,Harrison Hills,Harrison Hills,,,,,,,,0.19964726,,,,<Null>,,,0.00344991842676811,067dea98-ff9e-40df-a467-74c2e6da02f7,Active
26739,HH4772, ,HH,Harrison Hills,Harrison Hills,,,,,,,,0.05621226,,,Easy,<Null>,,,0.000849016539484549,e65503d1-6086-4b6d-b6e8-829e953b552f,Active
26743,HH42503,Green - Red Connector,HH,Harrison Hills,Harrison Hills,,,,,,,,0.03247233,,,Easy-Moderate,<Null>,Dirt,No,0.000589637402882848,b01adf00-692f-4892-be74-0a8e35d33232,Active
26744,HH45251,Yakaon Shelter Trail ,HH,Harrison Hills,Harrison Hills,,,,,,,,0.33491327,,,Moderate,Access Trail,,No,0.00560741844209445,e58769d1-a5c6-415e-99bf-1bc529670534,Active
26745,HH42936, ,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,,,,<Null>,0.2936023,,,,<Null>,,,0.00500858046994214,47bcc5b8-eaf3-4d14-984e-48cd14f06fdf,Active
26746,HH4769, ,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,,,,<Null>,0.0926918,,,Easy,<Null>,Dirt,No,0.00138306662862296,97880176-3bdb-422d-97b1-d90229df6b7b,Active
26748,HH42944,,HH,Harrison Hills,Harrison Hills,,,,,,,,0.03672158,,,Easy,<Null>,Grass,,0.000594555314694273,062595ab-e191-4935-9ea4-c4d4a681b360,Active
26749,HH42945,,HH,Harrison Hills,Harrison Hills,,,,,,,,0.19233533,,,Easy-Moderate,<Null>,Grass,,0.00328984417990381,04917642-66ad-4032-8894-c1b8fc6eda7f,Active
26750,HH42937, ,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,,,,<Null>,0.06915498,,,,<Null>,,,0.00111769575110609,b4e73863-0f35-4ece-a380-2ee7a730635a,Active
26760,DL2471, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.38700996,,,,<Null>,,,0.00663660398577079,7c758000-3b74-4568-980b-5c69e80b5312,Active
26761,DL2473, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.46973454,,,,<Null>,,,0.00785912804583507,691e73b3-d263-4f78-be88-b74ffc8ddc68,Active
26762,DL2476, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.01832677,,,,<Null>,,,0.00029750039214167,77d6b2f6-6dca-43fa-a4f7-18390babc153,Active
26767,DL2482, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.05936905,,,,<Null>,,,0.000889751451834417,100578a1-846a-4293-b358-ede1a3049eaf,Active
26768,DL2483, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.03343981,,,,<Null>,,,0.000602682506703704,2d3b644b-f62c-4493-98d6-45237fd222a1,Active
26769,DL2484, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.03913442,,,,<Null>,,,0.000618131669483598,8e41ef57-e0d4-4917-a4f8-92adaa4a461d,Active
26770,DL2485, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.01874605,,,,<Null>,,,0.000350439316217479,4cdf5606-f08c-48eb-9869-6ebd9932f500,Active
26772,DL52151,Upper Lake Loop,DL,Deer Lakes,Deer Lakes,,,,,,,,0.45235074,Single,1,Easy-Moderate,Point to Point,Dirt,No,0.00713359618401508,808f09d6-fb5b-4594-b500-8b740287bd03,Active
26773,DL2488, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.04392858,,,,<Null>,,,0.000728262169637428,8c2a0026-2ebb-493d-9efe-fe3e75aeef45,Active
26774,DL2489, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.16477244,,,,<Null>,,,0.00283026971213596,e390636e-4e94-4ecf-8102-707d30a8135f,Active
26776,DL2491, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.05014798,,,,<Null>,,,0.000762526673861498,296d2d03-f481-4961-bd0a-235f0f6b00c7,Active
26777,DL2492, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.11023898,,,,<Null>,,,0.00200115609668512,c22d735f-4435-4c85-a882-d8f36dc85551,Active
26778,DL2493, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.07775759,,,,<Null>,,,0.00127827076243075,51579944-0741-4746-88b9-9ccfd5cb5bdd,Active
26783,DL2499, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.01428772,,,,<Null>,,,0.000217112326756701,b71f4329-eb9b-4b83-a71e-999255c30118,Active
26790,DL2506, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.02466259,,,,<Null>,,,0.000467743064330924,33226747-c4aa-442c-ae3a-3279b2777139,Active
26791,DL2508, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.01424235,,,,<Null>,,,0.000225524255962062,54e5f505-fae8-4b46-9c45-f1d19c3ff86a,Active
26792,DL2509, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.04894486,,,,<Null>,,,0.000918791068941609,dbc595ad-04e2-4f95-a4db-cce67739b99b,Active
26793,DL2510, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.04678533,,,,<Null>,,,0.000867021420503881,a4d8a5d3-19eb-49e1-91ab-aae8eccdef75,Active
26795,DL2512, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.09527354,,,,<Null>,,,0.00145628320906842,79529936-1d8f-444c-86a9-4581b6093975,Active
26796,DL2516, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.07375696,,,,<Null>,,,0.00118046269676007,5f1ad80b-bf0c-469d-8537-89cbbe092cd6,Active
26797,DL2518, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.02921947,,,,<Null>,,,0.000535036745808538,29be21c6-4ac1-4095-b76c-5fbd3d40da67,Active
26798,DL2600, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.07213923,,,,<Null>,,,0.00121659796234935,de8be0a7-4f33-4a14-916c-0b277ef9b2e0,Active
26802,DL52188, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.34574428,,,,Point to Point,,No,0.0054292483255139,90d49b28-8393-4e01-b5d2-40eefa42f796,Active
26805,DL2769, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.41526794,,,,,,,0.00722415075048085,92590184-70a1-4fcc-8711-c09d4d88575d,Active
26806,DL2770, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.7657001,,,,<Null>,,,0.0133301762712288,775a18f6-db33-4497-9e55-baec80e84f4f,Active
26809,DL2826, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.02859166,,,Easy,Access Trail,,,0.000539521306177317,d6fead51-92d0-42a8-b668-2390130475e3,Active
26811,DL2828, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.02016463,,,Easy,Access Trail,,,0.000320745071641144,dd012460-0b71-4d00-8293-5332a5a9d865,Active
26814,DL13247, ,DL,Deer Lakes,Deer Lakes,,,,,,,,0.10805919,,,Easy-Moderate,<Null>,Dirt,No,0.00187517089109027,b90082d7-f043-4283-a65b-ddf9ff8c3cfd,Active
26816,DL52212,,DL,Deer Lakes,Deer Lakes,,,,,,,,0.19597995,,,Easy,Connector Trail,Dirt,No,0.00376721041438033,ea8fb9e3-2ca3-4574-9ef3-68bf57d7cdc6,Active
